Left-Weight,Left-Distance,Right-Weight,Right-Distance,ClassName,R,L,B,Error*,S.Error**
3,3,2,5,R,1.00,0.00,0.00,0.00,0.00
3,1,2,5,R,1.00,0.00,0.00,0.00,0.00
3,2,1,5,L,0.00,1.00,0.00,0.00,0.00
3,5,1,5,L,0.00,1.00,0.00,0.00,0.00
3,4,1,5,L,0.00,1.00,0.00,0.00,0.00
3,3,4,5,R,1.00,0.00,0.00,0.00,0.00
3,3,3,5,R,1.00,0.00,0.00,0.00,0.00
3,1,3,5,R,1.00,0.00,0.00,0.00,0.00
3,2,1,1,L,0.00,1.00,0.00,0.00,0.00
3,2,3,1,L,0.00,1.00,0.00,0.00,0.00
3,5,2,1,L,0.00,1.00,0.00,0.00,0.00
3,4,2,1,L,0.00,1.00,0.00,0.00,0.00
3,4,5,1,L,0.00,1.00,0.00,0.00,0.00
3,4,4,1,L,0.00,1.00,0.00,0.00,0.00
3,4,3,1,L,0.00,1.00,0.00,0.00,0.00
3,4,4,4,R,1.00,0.00,0.00,0.00,0.00
3,4,1,4,L,0.00,1.00,0.00,0.00,0.00
3,2,1,4,L,0.00,1.00,0.00,0.00,0.00
3,5,1,4,L,0.00,1.00,0.00,0.00,0.00
3,2,5,4,R,1.00,0.00,0.00,0.00,0.00
3,5,5,4,R,1.00,0.00,0.00,0.00,0.00
3,5,2,3,L,0.00,1.00,0.00,0.00,0.00
3,1,5,2,R,1.00,0.00,0.00,0.00,0.00
3,1,3,2,R,1.00,0.00,0.00,0.00,0.00
3,4,1,2,L,0.00,1.00,0.00,0.00,0.00
3,4,3,2,L,0.00,1.00,0.00,0.00,0.00
3,4,2,2,L,0.00,1.00,0.00,0.00,0.00
3,4,4,2,L,0.00,1.00,0.00,0.00,0.00
3,5,3,2,L,0.00,1.00,0.00,0.00,0.00
3,3,3,2,L,0.00,1.00,0.00,0.00,0.00
2,3,4,5,R,1.00,0.00,0.00,0.00,0.00
2,3,2,5,R,1.00,0.00,0.00,0.00,0.00
2,1,3,4,R,1.00,0.00,0.00,0.00,0.00
2,1,2,3,R,1.00,0.00,0.00,0.00,0.00
2,1,1,5,R,1.00,0.00,0.00,0.00,0.00
2,1,5,5,R,1.00,0.00,0.00,0.00,0.00
2,1,4,5,R,1.00,0.00,0.00,0.00,0.00
2,4,5,4,R,1.00,0.00,0.00,0.00,0.00
2,4,1,1,L,0.00,1.00,0.00,0.00,0.00
2,4,3,1,L,0.00,1.00,0.00,0.00,0.00
2,5,1,1,L,0.00,1.00,0.00,0.00,0.00
2,5,3,1,L,0.00,1.00,0.00,0.00,0.00
5,3,4,1,L,0.00,1.00,0.00,0.00,0.00
5,3,1,2,L,0.00,1.00,0.00,0.00,0.00
5,3,2,2,L,0.00,1.00,0.00,0.00,0.00
5,4,5,3,L,0.00,1.00,0.00,0.00,0.00
5,4,3,1,L,0.00,1.00,0.00,0.00,0.00
5,2,1,2,L,0.00,1.00,0.00,0.00,0.00
5,2,1,1,L,0.00,1.00,0.00,0.00,0.00
4,4,4,5,R,1.00,0.00,0.00,0.00,0.00
4,5,3,2,L,0.00,1.00,0.00,0.00,0.00
4,4,3,1,L,0.00,1.00,0.00,0.00,0.00
4,4,3,4,L,0.00,1.00,0.00,0.00,0.00
4,3,1,1,L,0.00,1.00,0.00,0.00,0.00
4,3,1,5,L,0.00,1.00,0.00,0.00,0.00
4,2,1,2,L,0.00,1.00,0.00,0.00,0.00
4,4,1,4,L,0.00,1.00,0.00,0.00,0.00
4,5,1,2,L,0.00,1.00,0.00,0.00,0.00
4,3,5,2,L,0.00,1.00,0.00,0.00,0.00
4,5,5,2,L,0.00,1.00,0.00,0.00,0.00
4,1,5,3,R,1.00,0.00,0.00,0.00,0.00
4,2,5,1,L,0.00,1.00,0.00,0.00,0.00
4,3,5,1,L,0.00,1.00,0.00,0.00,0.00
4,3,5,5,R,1.00,0.00,0.00,0.00,0.00
4,5,2,1,L,0.00,1.00,0.00,0.00,0.00
4,5,2,4,L,0.00,1.00,0.00,0.00,0.00
4,2,2,3,L,0.00,1.00,0.00,0.00,0.00
4,3,2,2,L,0.00,1.00,0.00,0.00,0.00
1,1,3,3,R,1.00,0.00,0.00,0.00,0.00
1,1,2,5,R,1.00,0.00,0.00,0.00,0.00
1,4,2,5,R,1.00,0.00,0.00,0.00,0.00
1,2,2,4,R,1.00,0.00,0.00,0.00,0.00
1,3,2,4,R,1.00,0.00,0.00,0.00,0.00
1,1,2,3,R,1.00,0.00,0.00,0.00,0.00
1,4,5,3,R,1.00,0.00,0.00,0.00,0.00
1,5,5,5,R,1.00,0.00,0.00,0.00,0.00
1,2,5,4,R,1.00,0.00,0.00,0.00,0.00
1,4,4,4,R,1.00,0.00,0.00,0.00,0.00
1,3,4,2,R,1.00,0.00,0.00,0.00,0.00
1,4,4,5,R,1.00,0.00,0.00,0.00,0.00
1,4,4,3,R,1.00,0.00,0.00,0.00,0.00
5,5,3,2,L,0.00,1.00,0.00,0.00,0.00
5,5,5,2,L,0.00,1.00,0.00,0.00,0.00
5,5,5,4,L,0.00,1.00,0.00,0.00,0.00
5,5,4,4,L,0.00,1.00,0.00,0.00,0.00
5,5,2,2,L,0.00,1.00,0.00,0.00,0.00
5,5,1,4,L,0.00,1.00,0.00,0.00,0.00
3,1,4,3,R,0.75,0.00,0.25,0.25,0.06
2,2,4,3,R,0.75,0.00,0.25,0.25,0.06
2,4,4,5,R,0.75,0.25,0.00,0.25,0.06
2,5,1,2,L,0.00,0.75,0.25,0.25,0.06
5,3,1,3,L,0.00,0.75,0.25,0.25,0.06
5,4,4,2,L,0.00,0.75,0.25,0.25,0.06
5,2,2,1,L,0.00,0.75,0.25,0.25,0.06
5,1,3,3,R,0.75,0.25,0.00,0.25,0.06
4,4,4,1,L,0.00,0.75,0.25,0.25,0.06
4,1,3,4,R,0.75,0.25,0.00,0.25,0.06
1,5,1,3,L,0.00,0.75,0.25,0.25,0.06
2,2,3,5,R,0.67,0.33,0.00,0.33,0.11
2,2,3,2,R,0.67,0.33,0.00,0.33,0.11
2,1,4,1,R,0.67,0.00,0.33,0.33,0.11
2,5,2,3,L,0.33,0.67,0.00,0.33,0.11
2,5,5,4,R,0.67,0.33,0.00,0.33,0.11
5,3,1,4,L,0.33,0.67,0.00,0.33,0.11
5,1,4,5,R,0.67,0.00,0.33,0.33,0.11
5,1,2,5,R,0.67,0.00,0.33,0.33,0.11
4,2,3,3,R,0.67,0.33,0.00,0.33,0.11
4,3,3,2,L,0.00,0.67,0.33,0.33,0.11
4,1,1,1,L,0.00,0.67,0.33,0.33,0.11
4,4,5,4,R,0.67,0.00,0.33,0.33,0.11
4,3,5,4,R,0.67,0.00,0.33,0.33,0.11
1,1,1,5,R,0.67,0.00,0.33,0.33,0.11
1,1,1,3,R,0.67,0.00,0.33,0.33,0.11
1,2,5,1,R,0.67,0.00,0.33,0.33,0.11
1,4,5,1,R,0.67,0.00,0.33,0.33,0.11
1,1,4,1,R,0.67,0.33,0.00,0.33,0.11
2,3,4,3,R,0.50,0.25,0.25,0.50,0.25
2,4,3,3,R,0.50,0.50,0.00,0.50,0.25
2,5,5,5,R,0.50,0.25,0.25,0.50,0.25
5,2,4,5,R,0.50,0.50,0.00,0.50,0.25
5,2,4,2,L,0.50,0.50,0.00,0.50,0.25
5,2,4,4,R,0.50,0.50,0.00,0.50,0.25
5,2,3,2,L,0.50,0.50,0.00,0.50,0.25
1,5,2,1,L,0.25,0.50,0.25,0.50,0.25
1,1,2,2,R,0.50,0.25,0.25,0.50,0.25
1,4,1,1,L,0.25,0.50,0.25,0.50,0.25
3,1,5,1,R,0.33,0.67,0.00,0.66,0.44
2,5,4,3,R,0.33,0.67,0.00,0.66,0.44
2,5,1,4,L,0.67,0.33,0.00,0.66,0.44
5,3,4,4,R,0.33,0.67,0.00,0.66,0.44
5,2,5,4,R,0.33,0.33,0.33,0.66,0.44
5,2,5,3,R,0.33,0.33,0.33,0.66,0.44
4,2,3,1,L,0.67,0.33,0.00,0.66,0.44
4,1,2,5,R,0.33,0.33,0.33,0.66,0.44
4,1,2,4,R,0.33,0.33,0.33,0.66,0.44
1,5,3,1,L,0.67,0.33,0.00,0.66,0.44
2,3,2,2,L,0.50,0.25,0.25,0.75,0.56
2,1,1,1,L,0.67,0.00,0.33,0.99,0.99
4,3,3,5,R,0.00,0.67,0.33,0.99,0.99
4,1,1,5,R,0.00,0.67,0.33,0.99,0.99
1,3,1,5,R,0.00,0.67,0.33,0.99,0.99
1,3,1,4,R,0.00,0.67,0.33,0.99,0.99
3,5,2,5,L,1.00,0.00,0.00,1.00,1.00
3,4,2,5,L,1.00,0.00,0.00,1.00,1.00
3,1,1,5,R,0.00,1.00,0.00,1.00,1.00
3,5,3,5,B,1.00,0.00,0.00,1.00,1.00
3,1,3,1,B,0.33,0.67,0.00,1.00,1.00
3,1,1,4,R,0.00,1.00,0.00,1.00,1.00
3,5,5,3,B,0.00,1.00,0.00,1.00,1.00
3,2,1,3,L,0.75,0.00,0.25,1.00,1.00
3,2,4,2,R,0.00,1.00,0.00,1.00,1.00
3,2,5,2,R,0.00,1.00,0.00,1.00,1.00
3,2,3,2,B,0.00,1.00,0.00,1.00,1.00
3,1,1,2,L,1.00,0.00,0.00,1.00,1.00
3,3,5,2,R,0.00,1.00,0.00,1.00,1.00
2,2,1,1,L,0.00,0.00,1.00,1.00,1.00
2,2,1,5,R,0.00,0.00,1.00,1.00,1.00
2,2,1,3,L,0.00,0.00,1.00,1.00,1.00
2,2,1,2,L,0.00,0.00,1.00,1.00,1.00
2,2,2,2,B,1.00,0.00,0.00,1.00,1.00
2,2,2,1,L,1.00,0.00,0.00,1.00,1.00
2,3,3,4,R,0.00,1.00,0.00,1.00,1.00
2,3,4,4,R,0.00,1.00,0.00,1.00,1.00
2,3,2,4,R,0.00,1.00,0.00,1.00,1.00
2,3,5,4,R,0.00,1.00,0.00,1.00,1.00
2,3,1,5,L,1.00,0.00,0.00,1.00,1.00
2,1,1,2,B,1.00,0.00,0.00,1.00,1.00
2,4,2,4,B,1.00,0.00,0.00,1.00,1.00
2,4,1,4,L,1.00,0.00,0.00,1.00,1.00
2,4,4,2,B,0.25,0.75,0.00,1.00,1.00
5,3,3,5,B,0.50,0.50,0.00,1.00,1.00
5,4,5,5,R,0.00,1.00,0.00,1.00,1.00
5,4,5,4,B,0.00,1.00,0.00,1.00,1.00
5,1,2,2,L,1.00,0.00,0.00,1.00,1.00
5,1,1,2,L,1.00,0.00,0.00,1.00,1.00
4,5,4,5,B,1.00,0.00,0.00,1.00,1.00
4,1,4,2,R,0.00,0.75,0.25,1.00,1.00
4,5,4,4,L,0.75,0.00,0.25,1.00,1.00
4,2,5,2,R,0.00,1.00,0.00,1.00,1.00
4,1,5,2,R,0.00,1.00,0.00,1.00,1.00
4,5,5,3,L,1.00,0.00,0.00,1.00,1.00
4,4,5,3,L,1.00,0.00,0.00,1.00,1.00
4,1,5,1,R,0.00,1.00,0.00,1.00,1.00
4,2,2,4,B,0.00,1.00,0.00,1.00,1.00
4,2,2,5,R,0.00,1.00,0.00,1.00,1.00
1,3,3,1,B,0.67,0.33,0.00,1.00,1.00
1,4,4,1,B,0.67,0.33,0.00,1.00,1.00
5,5,5,5,B,0.00,1.00,0.00,1.00,1.00
